id,Key,Russian,English,Chinese,Spanish,Brazilian portuguese,"Deutsche Sprache ",Japanese,French,Polish,Korean,Turkish,Italian,Hungary
50.0,i_net_ne_dolgnen_konechno,"И нет, не должен конечно, не парься ","And no, of course you do not, don't worry ",不 当然不用 别在意,"Y no, claro que no, no te preocupes","E não, não precisa, claro, não se preocupa","Und nein, musst du natürlich nicht, mach dir keine Sorgen",そしてもちろん、そうする必要はない、心配するな,"Et non, bien sûr que tu ne dois pas, ne t'inquiète pas","I nie, nie powinienem oczywiście, nie przejmuj się","그리고 아니, 물론 그래야 하는 건 아니야, 신경 쓰지 마","Ve hayır, gerek yok elbette, sıkıntı yapma","E no, non devi, certo, non preoccuparti","És nem, nem kell, persze, ne aggódj"
51.0,zdes_v_minutax_30,"Здесь в минутах 30 не то заправка не то продуктовый, местные дачники закупаются в ней","There's a gas station or grocery store about 30 minutes away, the locals shop in it",三十分钟车程有个加油站兼杂货店 本地人都去,"Hay a 30 minutos una gasolinera o tienda, los locales compran allí","Aqui a uns 30 minutos tem um posto ou um mercadinho, os veranistas locais fazem compras lá","Hier in etwa 30 Minuten gibt es entweder eine Tankstelle oder einen Lebensmittelladen, die lokalen Wochenendbewohner kaufen dort ein",ここから30分くらいの所にガソリンスタンドか食料品店がある、地元の住民はそこで買い物する,"Ici à environ 30 minutes il y a soit une station-service soit une épicerie, les résidents locaux y font leurs courses","Tutaj w minutach 30 nie to stacja nie to spożywczy, miejscowi działkowicze zaopatrują się w niej","여기서 30분쯤 거리에 주유소나 식료품점이 있어, 현지 주민들은 거기서 장을 봐","Burada 30 dakika uzakta bir benzin istasyonu ya da bakkal var, yerel yaz sakinleri oradan alışveriş yapıyor","Qui a circa 30 minuti c'è o un distributore o un alimentari, i locali villeggianti ci fanno la spesa","Itt 30 percnyire van vagy egy benzinkút vagy egy élelmiszerbolt, a helyi nyaralók ott vásárolnak"
52.0,to_est,То есть,That is,所以,Es decir,Ou seja,Das heißt,つまり,C'est-à-dire,To jest,그러니까,Yani,Cioè,Azaz
53.0,ty_hochesh_skazat,Ты хочешь сказать,You want to say,你是说,Quieres decir,Você quer dizer,Du willst sagen,言いたいのは,Tu veux dire,Ty chcesz powiedzieć,말하고 싶은 건,Diyorsun ki,Vuoi dire,Azt akarod mondani
54.0,u_tebya_zdes_est_magazin_pod_bokom,"У тебя здесь есть магазин под боком, что не помешало потребовать от меня полтора часа моей утренней, сладкой, размеренной жизни, потраченной на преодоление лесных ухабов и кочек?","You've got a shop right here, which didn't prevent you from demanding from me an hour of my morning, sweet, measured life, spent on overcoming forest potholes and bumps?",你附近就有商店 却让我浪费清早一个半小时 颠簸跋涉？,"Tienes una tienda aquí mismo, ¿y me hiciste perder hora y media de mi dulce mañana, superando baches y hoyos?","Você tem uma loja bem aqui do lado, o que não impediu você de me cobrar uma hora e meia da minha vida matinal, doce, serena, gasta superando buracos e lombadas da floresta?","Du hast einen Laden direkt in der Nähe, was dich nicht davon abgehalten hat, von mir eineinhalb Stunden meines morgendlichen, süßen, gemessenen Lebens zu verlangen, die ich damit verbracht habe, Waldschlaglöcher und Unebenheiten zu überwinden?",目の前に店があるのに、それでも私に、森の穴や凸凹を乗り越えるために費やした、私の朝の、甘く、計りられた人生の一時間半を要求することを妨げなかったのか？,"Tu as un magasin juste à côté, ce qui ne t'a pas empêché de m'exiger une heure et demie de ma vie matinale, douce, mesurée, passée à surmonter les ornières et les bosses de la forêt ?","U ciebie tutaj jest sklep pod bokiem, co nie przeszkodziło żądać ode mnie półtorej godziny mojego poranka, słodkiego, ustalonego życia, straconej na pokonywanie leśnych wybojów i kolein?","네 바로 옆에 가게가 있는데, 그게 숲의 움푹 팬 곳과 멍울을 극복하는 데 쓴, 내 아침의, 달콤하고, 안정된 인생의 한 시간 반을 나한테 요구하는 걸 막지 못했다는 거냐?","Yanı başında bir dükkanın var, bu seni sabahımın, tatlı, ölçülü hayatımın bir buçuk saatini orman çukurlarını ve tümseklerini aşmak için harcadığımı talep etmekten alıkoymadı mı?","Hai un negozio proprio qui a portata di mano, il che non ti ha impedito di esigere da me un'ora e mezza della mia vita mattutina, dolce, misurata, spesa a superare buche e dossi della foresta?","Van egy boltod itt a közelben, ami nem akadályozta meg, hogy követelj tőlem másfél órányi reggeli, édes, mérsékelt életemet, amit az erdei kátyúk és dudorok legyőzésére pazaroltam?"
55.0,v_nem_ge_net_ee_lubimogo_kofe,"В нём же нет её любимого кофе, Дим","Well, it doesn't have her favorite coffee, Dim",那儿没她爱的咖啡 迪姆,"Pues no tiene su café favorito, Dim","Lá não tem o café favorito dela, Dim","Dort gibt es aber ihren Lieblingskaffee nicht, Dim",そこには彼女の最爱のコーヒーはない、ディム,"Il n'y a pas son café préféré dedans, Dim","W nimże nie ma jej ulubionej kawy, Dim","거기엔 그녀가 가장 좋아하는 커피가 없어, 딤","Onda onun favori kahvesi yok, Dim","Lì non c'è il suo caffè preferito, Dim","Nincs benne a kedvenc kávéja, Dim"
56.0,chertov_ubludok_mudak_blyat,"Чёртов ублюдок, мудак бессовестный ","Goddamn bastard, shameless asshole",天杀的 无耻混账,"Maldito bastardo, cabrón sinvergüenza","Desgraçado do caralho, otário sem vergonha","Verdammter Bastard, schamloser Arschloch",クソったれの、図々しいろくでなし,"Espèce d'enculé du diable, connard sans vergogne","Jebany dran, dupek bezwstydny","빌어먹을 자식, 철면피한 개자식아","Lanet olası piç, yüzsüz şerefsiz","Maledetto bastardo, stronzo sfrontato","Átkozott fattyú, szégyentelen fasz"
57.0,na_etoy_nedele_planiroval,"На этой неделе планировал в город сгонять, закупиться про запас, давай свожу тебя куда-то за свой счёт ","Was gonna hit the city this week, wanna stock up. Let me take you somewhere on my dime ",本来这周要进城囤货 我请你,"Iba a ir a la ciudad esta semana, abastecerme, invito yo","Eu tava planejando ir na cidade essa semana, estocar, deixa eu te levar em algum lugar, por minha conta","Ich hatte diese Woche vor, in die Stadt zu fahren, Vorräte zu kaufen, lass mich dich irgendwohin ausführen, auf meine Kosten",今週中に街に行って、まとめ買いする予定だった、どこか連れて行く、私のおごりだ,"Je comptais aller en ville cette semaine, faire des provisions, laisse-moi t'emmener quelque part à mes frais","Na tym tygodniu planowałem do miasta poganiać, zakupić się na zapas, no zawiozę cię gdzieś na mój koszt","이번 주에 도시에 가서, 비축해 둘 걸 사려고 계획했었어, 어딜 데려가 줄게, 내가 쏠게","Bu hafta şehre gidip stok yapmayı planlıyordum, hadi seni bir yere götüreyim, benden","Avevo in programma di andare in città questa settimana, fare scorta, lascia che ti porti da qualche parte, a mie spese","Ezen a héten terveztem beugrani a városba, bevasárolni tartaléknak, hadd vigyelek el valahova, az én költségemre"
58.0,eshe_kak_svodish_ne_somnevaisya,"Ещё как сводишь, не сомневайся","You will, don't doubt it",必须的 等着,"Ya lo creo, no dudes","E como você vai levar, não duvida","Und ob du mich ausführen wirst, zweifle nicht daran",もちろん連れて行けよ、疑うな,"Et comment que tu m'emmèneras, n'en doute pas","Jeszcze jak zawiozę, nie wątp","물론 데려가, 의심하지 마","Nasıl götüreceksin, hiç şüphen olmasın","E come ci andrai, non dubitarne","Hogy fogsz, ne is kételkedj"
59.0,seichas_zaidesh,Сейчас зайдёшь?,Coming now?,现在进来？,¿Entras?,Vai entrar agora?,Kommst du jetzt rein?,今入るか？,Tu viens maintenant ?,Teraz wejdziesz?,지금 들릴까?,Şimdi gelecek misin?,Entri ora?,Beszállsz most?
60.0,ne_pogliagu_zdes,"Не, погляжу здесь и без меня своим чередом","Nah, I'll watch how things go here without me",不 我看看这儿没我咋样,"No, veré cómo sigue aquí sin mí","Nã, vou ver como fica aqui sem mim","Nee, ich schaue hier, wie es ohne mich seinen Gang geht",いや、ここで私なしで物事が進むのを見てるよ,"Nan, je vais voir comment ça se passe ici sans moi","Nie, popatrzę tutaj i beze mnie swoim porządkiem","아니, 여기서 내 없이 일이 진행되는 지 보지 뭐","Hayır, burada bensiz kendi halinde nasıl gittiğine bakacağım","No, guarderò come va qui senza di me","Nem, megnézem, itt nélkülem is halad a maga útján"
61.0,horosho_doehat_drug,"Хорошо доехать, дружище","Have a good trip, buddy",一路顺风 兄弟,"Buen viaje, colega","Boa viagem, camarada","Gute Fahrt, Kumpel",良い旅を、相棒,"Bon voyage, mon pote","Dobrze dojechać, przyjacielu","좋은 여정 되라, 친구","İyi yolculuklar, dostum","Buon viaggio, amico","Jó utat, cimbora"
62.0,svidimsya,Свидимся,See you,回见,Nos vemos,Até mais,Wir sehen uns,またな,À plus,Zobaczymy się,나중에 보자,Görüşürüz,Ci vediamo,Viszlát
63.0,nado_poskorei_zapolnit_dom_zapahom,"Надо поскорей заполнить дом запахом её кофе, пока не проснулась","Need to quickly fill the house with the smell of her coffee, before she wakes up",得在她醒前让屋子飘满咖啡香,"Debo llenar la casa con su olor a café, antes de que despierte","Preciso encher a casa com o cheiro do café dela logo, antes que ela acorde","Ich muss das Haus schnell mit dem Geruch ihres Kaffees füllen, bevor sie aufwacht",彼女が起きる前に、家を彼女のコーヒーの香りで早く満たさなきゃ,"Il faut que je remplisse la maison de l'odeur de son café vite fait, avant qu'elle ne se réveille","Muszę czymprędzej wypełnić dom zapachem jej kawy, póki nie obudziła się","그녀가 일어나기 전에, 집을 그녀의 커피 냄새로 빨리 채워야 해",O uyanmadan evi onun kahve kokusuyla doldurmam lazım,"Devo riempire la casa con l'odore del suo caffè al più presto, prima che si svegli","Gyorsan meg kell töltenem a házat a kávéja illatával, mielőtt felébred"
64.0,zabyl_krugku,Забыл кружку,Forgot the mug,忘拿杯子,Olvidé la taza,Esqueci a caneca,Tasse vergessen,マグカップを忘れた,J'ai oublié la tasse,Zapomniałem kubek,머그잔을 잊었어,Bardak unuttum,Dimenticato la tazza,Elfelejtettem a bögrét
65.0,othodnik_podi_zabilsya,"Отходник, поди, забился","The shitter, probably, is clogged",妈的 马桶堵了,"El retrete, seguro, atascado","O vaso, provavelmente, entupiu","Das Klo, wahrscheinlich, ist verstopft",トイレは、多分、詰まってる,"Les chiottes, probablement, sont bouchées","Odchodnik, chyba, zabił się","화장실은, 아마, 막혔겠지","Tuvalet, galiba, tıkandı","Il cesso, probabilmente, si è intasato","A klotyó, talán, eldugult"
66.0,ne_mogu_ostavit_lugu_vot_tak,Не могу оставить лужу вот так,Can't leave a puddle like that,不能留滩水在这儿,No puedo dejar un charco así,Não posso deixar uma poça assim,Kann so eine Pfütze nicht lassen,こんなに水たまりを残せない,Je peux pas laisser une flaque comme ça,Nie mogę zostawić kałuży tak,이렇게 물웅덩이를 둘 수 없어,Böyle bir su birikintisi bırakamam,Non posso lasciare una pozza così,Nem hagyhatok így egy pocsolyát
67.0,chai_vse_eshe_luchshe,"Чай всё ещё лучше, но эти Ирландские сливки взаправду восхитительно пахнет","Tea is still better, but this Irish cream   smells truly wonderful",茶还是更好 但这爱尔兰奶油闻着真绝,"El té sigue mejor, pero estas cremas irlandesas huelen maravilloso","O chá ainda é melhor, mas esse creme irlandês cheira realmente maravilhosamente","Tee ist immer noch besser, aber diese irische Sahne riecht wirklich wunderbar",紅茶はまだましだ、だがこのアイリッシュクリームは本当に素晴らしく香る,"Le thé est toujours meilleur, mais cette crème irlandaise sent vraiment merveilleusement bon","Herbata jeszcze lepsza, ale te Irlandzkie śmietanki naprawdę zachwycająco pachną","차가 여전히 나아, 하지만 이 아이리시 크림은 정말 환상적으로 냄새가 나","Çay hala daha iyi, ama bu İrlanda kreması gerçekten harika kokuyor","Il tè è ancora meglio, ma questa panna irlandese profuma davvero meravigliosamente","A tea még mindig jobb, de ez az ír krémes tényleg csodásan illatozik"
68.0,razdetsia,Раздеться,Undress,脱衣服,Desnudarse,Tirar a roupa,Sich ausziehen,脱ぐ,Se déshabiller,Rozebrać się,벗어,Soyunmak,Spogliarsi,Levetkőzni
69.0,spat,Спать,Sleep,睡觉,Dormir,Dormir,Schlafen,眠る,Dormir,Spać,자다,Uyumak,Dormire,Aludni
70.0,sohraniat_produktivnost_ne_poddavatsia_emoziam,"Сохранять продуктивность, не поддаваться эмоциям, беречь разум и готовиться к лучшему","Maintain productivity, don't give in to excitement, preserve the mind and prepare for the best",保持效率 克制情绪 清醒头脑 准备迎接美好,"Mantener productividad, no ceder a emociones, guardar razón y prepararse para lo mejor","Manter a produtividade, não ceder às emoções, preservar a razão e se preparar para o melhor","Produktivität bewahren, sich nicht Emotionen hingeben, den Verstand bewahren und sich auf das Beste vorbereiten",生産性を維持し、感情に屈せず、精神を守り、最善に備えよ,"Maintenir la productivité, ne pas céder aux émotions, préserver la raison et se préparer au meilleur","Zachowywać produktywność, nie poddawać się emocjom, chronić rozum i przygotowywać się do najlepszego","생산성을 유지하고, 감정에 굴하지 말고, 정신을 보존하고, 최선을 준비해","Verimliliği korumak, duygulara yenik düşmemek, aklı korumak ve en iyisi için hazırlanmak","Mantenere la produttività, non cedere alle emozioni, preservare la ragione e prepararsi al meglio","Megőrizni a produktivitást, nem megadni magad az érzelmeknek, megőrizni az elmét és felkészülni a legjobbra"
71.0,kakoy_ge_eto_smehotvorno_blevotnyi_fars,Какой же это смехотворно блевотный фарс,What a laughably vomit-inducing farce this is,多么可笑令人作呕的闹剧,Qué farsa risiblemente vomitiva,Que farsa ridícula e vomitória,"Was für ein lächerlich, zum Kotzen komisches Farce",何てこっけいで吐き気を催す茶番だ,Quelle farse ridiculement vomitive,Jakiż to śmiesznie obrzydliwy faras,얼마나 우습고 구역질 나는 속임수야,"Ne kadar gülünç, iğrenç bir komedi bu",Che farsa ridicola e nauseabonda,Milyen nevetségesen hányingeres farce ez
72.0,prosto_prodolgai_git,Просто продолжай жить,Just keep living,继续活着就行,Solo sigue viviendo,Só continua vivendo,Leb einfach weiter,ただ生き続けろ,Continue simplement de vivre,Po prostu kontynuuj życie,그냥 계속 살아,Sadece yaşamaya devam et,Semplicemente continua a vivere,Csak élj tovább
73.0,mulyi,Милый?,Sweetie?,亲爱的？,¿Cariño?,Querido?,Schatz?,あなた？,Chéri ?,Miły?,여보?,Sevgili?,Caro?,Drágám?
74.0,da_rodnaya,Да родная,"Yes, dear",嗯 宝贝,"Sí, vida","Sim, minha querida","Ja, Liebste",何だい、愛しい人,Oui ma chère,Tak rodzony,"왜야, 자기야","Evet, hayatım","Sì, cara","Igen, drága"
75.0,govorish_eto_biografichno_dlya_etogo,Говоришь это биографично для этого...как его?,You saying this is biographical for this... what's his name? ,你说这是...他叫啥的传记？,¿Dices que es biográfico para este... cómo se llama?,Tá falando que isso é biográfico pra aquele... como é o nome dele?,"Sagst du, das ist biografisch für diesen... wie heißt er?",それってこの…何ていうの…の伝記的事実なの？,Tu dis que c'est biographique pour ce... comment il s'appelle ?,Mówisz to biograficznie dla tego...jak jego?,그거 이... 뭐라지... 의 전기적인 사실이야?,Bunun biyografik olduğunu mu söylüyorsun... adı neydi?,Stai dicendo che è biografico per quello... come si chiama?,"Azt mondod, ez életrajzi adat ehhez... hogy is hívják?"
76.0,nu_on_on_bil_genat_kogda_to,"Ну, он... он был женат, когда-то","Well, he... he was married, once upon a time",他...结过婚 曾经,"Bueno, él... estuvo casado, una vez","Bom, ele... ele era casado, antigamente","Na, er... er war verheiratet, früher",ええと、彼…彼はかつて、結婚してた,"Eh bien, il... il était marié, autrefois","No, on... on był żonaty, kiedyś","음, 걔... 걔는 예전에, 결혼했었어","Şey, o... bir zamanlar evliydi","Beh, lui... lui era sposato, una volta","Hát, ő... ő házas volt, valamikor"
77.0,vse_kak_odin_tverdiat_mne,"Все, как один, твердят мне","Everyone, as one, tells me",所有人都告诉我,"Todos, como uno, me dicen","Todos, em coro, me dizem",Alle wie aus einem Mund sagen mir,皆が口を揃えて私に言う,"Tous, comme un seul homme, me répètent","Wszyscy, jak jeden, powtarzają mi",다 똑같이 내게 말해,"Herkes, ağız birliği etmişçesine, bana söylüyor","Tutti, come uno, mi dicono","Mindenki, egy szájjal, mondja nekem"
78.0,no_chto_esli_ya_ne_mogu,Но что если я не могу,But what if I can't,可我做不到,Pero qué si no puedo,Mas e se eu não consigo,"Aber was, wenn ich nicht kann",だがもし私にできないなら,Mais et si je ne peux pas,Ale co jeśli ja nie mogę,하지만 내가 못 한다면,Ama ya yapamazsam,Ma se non posso,De ha nem tudok
79.0,chto_mne_sdelat_s_soboi,Что мне сделать с собой,What can I do with myself,我该怎么办,Qué hacer conmigo,O que eu faço comigo mesmo,Was soll ich mit mir machen,自分をどうすればいい,Que puis-je faire de moi,Co mam zrobić z sobą,내 자신을 어떻게 해야 해,Kendime ne yapmalıyım,Cosa posso fare con me stesso,Mit tegyek magammal
80.0,est_li_reshenie_dlya_menia_esli,"Есть ли решение для меня, если ","Is there a solution for me, if",是否有解 如果,"Hay solución para mí, si","Tem uma solução pra mim, se","Gibt es eine Lösung für mich, wenn",私に解決策はあるのか、もし,"Existe-t-il une solution pour moi, si","Czy jest rozwiązanie dla mnie, jeśli","나를 위한 해결책이 있냐, 만약","Benim için bir çözüm var mı, eğer","C'è una soluzione per me, se","Van-e megoldás számomra, ha"
81.0,eti_giznoutvergdaushie_psihoseansi,"Эти жизнеутверждающие психосеансы, обнадёживающие пожалейки","These life-affirming psycho-sessions, these reassuring pity-fests",那些积极心理疗程 安慰怜悯,"Estas psico-sesiones vitalistas, estos consuelos compasivos","Essas psicosessões de afirmação da vida, esses peniquezinhos encorajadores","Diese lebensbejahenden Psychositzungen, diese ermutigenden Bemitleidungen",これらの人生肯定の心理セッション、希望を与える憐れみ,"Ces psycho-séances affirmant la vie, ces apitoiements encourageants","Te życieutwierdzające psychoseanse, pokrzepiające pocieszajki","이러한 긍정적인 심리 세션, 희망을 주는 동정","Bu hayatı onaylayan psiko-seanslar, umut veren acımalar","Queste psico-sedute che affermano la vita, queste compatimenti incoraggianti","Ezek az életigenlő pszichó ülések, biztató sajnálkozások"
82.0,lish_vivodyat,Лишь выводят,Just drive me,只会让我,Solo me llevan,Só,Bringen mich nur,ただ,Ne font que,Tylko wyprowadzają,그저,Sadece,Soltanto,Csak
83.0,do_belogo_kaleniya_suka_besiat,"До белого каления, сука, бесят ","To a white-hot rage, damn it, piss me off",怒不可遏 妈的 火大,"A rabia candente, me emputan","Me tiram do sério, porra, me irritam","Zur Weißglut, verdammt, machen mich wütend",激怒させる、クソ、頭にくる,"M'exaspérer, putain, m'énerver","Do białej czerwoności, suka, wkurwiają","백열화하게 만들어, 씨발, 화나","Beni çıldırtıyor, siktir, deli ediyor","Mi fanno imbestialire, cazzo, mi fanno arrabbiare","Vérlázítóan, baszd meg, felbosszantanak"
84.0,moy_neustanyi_rabontichek,"Мой неустанный работничек, ну как ты тут","My tireless little worker, how are you here",我的小劳模 在这干嘛呢,"Mi obrerito incansable, ¿cómo estás aquí?","Meu trabalhador incansável, e aí, como tá por aqui?","Mein unermüdlicher Arbeiter, na, wie geht's dir hier?",私の倦むことのない働き手、ここはどうだい,"Mon petit travailleur infatigable, alors comment ça va ici ?","Mój nieustanny pracowiczu, no jak ty tutaj","내 지칠 줄 모르는 일꾼, 여기는 어때","Benim yorulmak bilmeyen işçim, nasılsın burada?","Mio instancabile lavoratore, come te la passi qui?","Mi fáradhatatlan munkásom, na, hogy vagy itt?"
85.0,molchish_partizan,"Молчишь, партизан?","Quiet, partisan?",不说话 游击队员？,"¿Callado, partisano?","Calado, partisan?","Schweigst du, Partisan?",黙ってるのか、パルチザン？,"Tu te tais, partisan ?","Milczysz, partyzant?","침묵하는 거야, 빨치산?","Sessiz misin, partizan?","Stai zitto, partigiano?","Csöndben vagy, partizán?"
86.0,a_u_menya_toge_dlya_tebya_chto_to_est,А у меня для тебя тоже что-то есть!,And I have something for you too!,我也有东西给你！,¡Y yo también tengo algo para ti!,E eu também tenho uma coisa pra você!,Und ich habe auch etwas für dich!,私も君に何かあるよ！,Et moi aussi j'ai quelque chose pour toi !,A u mnie dla ciebie też coś jest!,나도 너를 위한 무언가가 있어!,Ve benim de senin için bir şeyim var!,E ho anche qualcosa per te!,És nekem is van valamim neked!
87.0,vozmogno_eto_ne_toge_samoe_chto_ty_delaesh,"Возможно это не тоже самое, что ты делаешь для меня, но...","Maybe it's not the same as what you do for me, but...",可能不如你给我的 但...,"Quizá no es lo mismo que tú haces por mí, pero...","Talvez não seja a mesma coisa que você faz por mim, mas...","Vielleicht ist es nicht dasselbe wie das, was du für mich tust, aber...",多分それは君が私のためにするのと同じものじゃない、だが…,"Peut-être que ce n'est pas la même chose que ce que tu fais pour moi, mais...","Możliwe to nie to samo, co ty robisz dla mnie, ale...","아마 그건 네가 나를 위해 하는 것과 같은 건 아니겠지만, 하지만...","Belki benim için yaptığın şeyle aynı şey değil, ama...","Forse non è la stessa cosa che tu fai per me, ma...","Talán nem ugyanaz, amit te teszel értem, de..."
88.0,ya_dolgen_pospat,Я должен поспать,I must sleep,我得睡觉,Debo dormir,Eu preciso dormir,Ich muss schlafen,私は眠らなければならない,Je dois dormir,Ja muszę przespać się,나는 자야 해,Uyumalıyım,Devo dormire,Aludnom kell
89.0,priamo_seichas,Прямо сейчас,Right now,就现在,Ahora mismo,Agora mesmo,Jetzt sofort,今すぐに,Tout de suite,Prosto teraz,지금 당장,Hemen şimdi,Proprio ora,Most azonnal
90.0,ei_mister_obeshay_zavtra_poluchitsia,"Эй, мистер обещаю-завтра-получится, изволите ли вы поднять свой зад и спуститься к жене?","Hey, Mister I-promise-it'll-work-out-tomorrow, would you deign to lift your ass and come down to your wife?","嘿 ""保证明天能完成""先生 可否屈尊挪驾下楼见妻子？","Oye, Señor prometo-mañana-saldrá, ¿dignaría alzar su culo y bajar a su esposa?","Ei, Senhor Eu-prometo-que-amanhã-vai-dar-certo, você se dignaria a levantar sua bunda e descer para sua esposa?","Hey, Mister Ich-verspreche-es-klappt-morgen, würden Sie so gut sein, Ihren Arsch zu heben und zu Ihrer Frau herunterzukommen?",おい、「明日はうまくいく」さん、その腰を上げて妻の元へ下りてくれますか？,"Hé, Monsieur Je-promets-que-demain-ça-marche, daignerez-vous lever votre cul et descendre vers votre femme ?","Hej, panie obiecuję-jutro-się-uda, raczysz-li podnieść swój tyłek i zejść do żony?","야, ""내일-은-될-거야"" 씨, 당신의 엉덩이를 들고 아내에게로 내려오시겠소?","Hey, Bay Yarın-Olacak-Sözü, kıçınızı kaldırıp karınızın yanına inmeyi lütfeder misiniz?","Ehi, Signor Prometto-che-domani-riuscirò, degnerebbe di alzare il suo culo e scendere da sua moglie?","Hé, Mister Ígérem-holnap-sikerülni-fog, méltóztatna felemelni a seggét és lejönni a feleségéhez?"
91.0,ya,Я...,I...,我...,Yo...,Eu...,Ich...,私…,Je...,Ja...,나...,Ben...,Io...,Én...
92.0,Gospodi_kak_ya_skuchau,"Господи, как я скучаю","God, how I've missed you",天 好想你,"Dios, cómo te extrañé","Meu Deus, como eu senti sua falta","Herrgott, wie ich dich vermisst habe",神様、どんなに恋しかったか,"Seigneur, comme tu m'as manqué","Boże, jak ja tęsknię","세상에, 얼마나 그리웠는지","Tanrım, seni ne kadar özledim","Dio, come mi sei mancato","Istenem, de hiányoztál"
93.0,Moy_polunochnyi_trudiaga_nakonez_prosnulsia,Мой полуночный трудяга наконец проснулся?,My midnight toiler has finally awakened?,我的午夜劳模终于醒了？,¿Mi trabajador nocturno al fin despierto?,Meu trabalhador da madrugada finalmente acordou?,Mein Mitternachtsarbeiter ist endlich aufgewacht?,私の真夜中の働き手、ついに目覚めた？,Mon travailleur de minuit est enfin réveillé ?,Mój północny pracuś wreszcie obudził się?,내 자정의 일꾼이 드디어 깨어났어?,Gece yarısı işçim sonunda uyandı mı?,Il mio lavoratore di mezzanotte finalmente si è svegliato?,Az éjféli munkásom végre felébredt?
94.0,utrechka_zvetochek_moy,"Утречка, цветочек мой","Mornin', my flower",早 我的小花,"Días, mi flor","Bom dia, minha flor","Morgen, mein Blümchen",おはよう、私の花,"Bonjour, ma fleur","Dzieńka, kwiatku mój","좋은 아침, 내 꽃","Günaydın, çiçeğim","Buongiorno, mio fiorellino","Jó reggelt, virágom"
95.0,mulyi_chto_sluchilos_chto_tam,Милый что случилось что там?,"Sweetie, what happened, what's there?",亲爱的 怎么了 那边？,"Cariño, qué pasó, qué hay?","Querido, o que aconteceu, o que é lá?","Schatz, was ist passiert, was ist dort?",あなた、何が起こったの、あそこ？,Chéri qu'est-ce qui s'est passé là-bas ?,Miły co stało się co tam?,여보 무슨 일이야 거기?,Sevgili orada ne oldu?,Caro cos'è successo cos'è lì?,"Drága, mi történt, mi van ott?"
96.0,net_net_ya,"Нет-нет, я","No-no, I",没 我,"No-no, yo","Não-não, eu","Nein-nein, ich",いやいや、私は,"Non-non, je","Nie-nie, ja","아니아니, 나는","Hayır-hayır, ben","No-no, io","Nem-nem, én"
97.0,ya_prosto_zadumalsia_lubimaya_vse_horosho,"Я просто задумался, всё хорошо","I was just thinking, everything's fine",只是在想 没事,"Solo pensaba, todo bien","Eu só tava pensando, tá tudo bem","Ich war nur in Gedanken, alles ist gut",ただ考え事をしていただけだ、大丈夫だ,"J'étais juste perdu dans mes pensées, tout va bien","Ja po prostu zamyśliłem się, wszystko dobrze","그냥 생각에 잠겨 있었어, 다 괜찮아","Sadece düşünüyordum, her şey iyi","Stavo solo pensando, tutto bene","Csak gondolkoztam, minden rendben"
98.0,ya_ne_stal_by_vrat_vam_prinzessa,"Я не стал бы врать вам, принцесса, верьте мне пожалуйста","I wouldn't lie to you, princess, please believe me",不会骗你 公主 请相信我,"No te mentiría, princesa, por favor créeme","Eu não mentiria pra vocês, princesa, por favor acreditem em mim","Ich würde euch nicht anlügen, Prinzessin, bitte glaubt mir",あなたに嘘はつきません、お姫様、どうか私を信じてください,"Je ne vous mentirais pas, princesse, croyez-moi s'il vous plaît","Nie byłbym skłamał wam, księżniczko, wierzcie mi proszę","당신에게 거짓말은 안 할 거야, 공주님, 제발 날 믿어 줘","Size yalan söylemezdim, prenses, lütfen bana inanın","Non mentirei a voi, principessa, per favore credetemi","Nem hazudnék önnek, hercegnő, kérem, higgyen nekem"
99.0,dumau,Думаю,I think,我觉得,Creo,Acho,Ich denke,思うに,Je pense,Myślę,내 생각엔,Sanırım,Penso,Azt hiszem
100.0,vse_delo_v_tom,Всё дело в том,It's all about the fact,问题是,Es que,Que o problema é,Es liegt alles daran,すべての理由は,Que tout vient du fait,Wszystko rzecz w tym,모든 이유는,Bütün mesele şu,Che tutto dipenda dal fatto,Az egész azon múlik
101.0,v_poslednee_vremia_ya_ploho_splu,В последнее время я плохо сплю,Lately I've been sleeping poorly,最近睡得不好,Últimamente duermo mal,Que ultimamente eu tenho dormido mal,Dass ich in letzter Zeit schlecht schlafe,最近私はよく眠れていない,Que dernièrement je dors mal,W ostatnim czasie ja źle sypiam,요즘 나는 잠을 잘 못 자,Son zamanlarda kötü uyuyorum,Che ultimamente dormo male,Hogy mostanában rosszul alszom
102.0,dorogoi,Дорогой?,Darling?,亲爱的？,¿Amor?,Querido?,Schatz?,あなた？,Chéri ?,Drogi?,여보?,Sevgili?,Caro?,Drága?
103.0,slushau_zolotze,Слушаю золотце,"I'm listening, sweetheart",听着呢 宝贝,"Te escucho, cielo","Tô ouvindo, meu bem","Höre zu, Goldstück",聞いているよ、愛しい人,"Je t'écoute, mon trésor",Słucham złotko,"듣고 있어, 자기야","Dinliyorum, bir tanem","Ti ascolto, tesoro","Hallgatom, drágaság"
